Park Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,2019,Average
Governors Island NM,"409,207","402,174","348,249","355,553","698,227","438,613","522,859","625,653","589,798",,,"590,993","498,133"
Grand Canyon NP,"4,388,386","4,298,178","4,421,352","4,564,840","4,756,771","5,520,736","5,969,811","6,254,238","6,380,495",,,"5,974,411","5,252,922"
Grand Portage NM,"113,996","97,440","93,156","88,598","88,877","91,751","95,862","96,051","94,137",,,"94,985","95,485"
Grand Teton NP,"2,669,374","2,587,437","2,705,256","2,688,794","2,791,392","3,149,921","3,270,076","3,317,000","3,491,151",,,"3,405,614","3,007,602"
Grant-Kohrs Ranch NHS,"22,075","20,293","17,095","18,848","20,565","22,139","23,176","24,072","26,676",,,"25,043","21,998"
Great Basin NP,"88,870","91,451","94,850","92,893","107,526","116,123","144,846","168,028","153,094",,,"131,802","118,948"
Great Sand Dunes NP & PRES,"283,284","280,058","254,674","242,841","271,774","299,513","388,308","486,935","442,905",,,"527,546","347,784"
Great Smoky Mountains NP,"9,463,538","9,008,830","9,685,829","9,354,695","10,099,276","10,712,674","11,312,786","11,338,893","11,421,200",,,"12,547,743","10,494,546"
Greenbelt Park,"270,661","190,427","145,552","142,742","132,688","135,260","137,900","141,856","85,260",,,"128,702","151,105"
Guadalupe Mountains NP,"192,210","152,546","159,360","145,670","166,868","169,535","181,839","225,257","172,347",,,"188,833","175,447"
Guilford Courthouse NMP,"285,444","346,617","313,374","541,581","173,261","222,602","321,796","348,991","236,016",,,"223,900","301,358"
Gulf Islands NS,"4,283,747","5,501,872","4,973,462","4,837,965","4,455,240","3,976,883","4,771,309","3,952,941","4,229,968",,,"5,600,240","4,658,363"
Hagerman Fossil Beds NM,"29,795","21,100","23,936","21,008","22,482","24,695","25,982","31,122","26,477",,,"23,768","25,037"
Haleakala NP,"1,105,606","956,989","1,094,668","785,300","1,142,040","1,216,772","1,263,558","1,112,390","1,044,084",,,"994,394","1,071,580"
Hamilton Grange NMEM,0,"7,817","16,358","20,429","20,943","35,446","85,348","85,603","66,216",,,"71,247","40,941"
Hampton NHS,"32,153","32,165","37,529","32,262","32,498","34,685","34,942","32,327","29,615",,,"28,234","32,641"
Harpers Ferry NHP,"268,822","255,348","263,105","255,714","261,202","282,893","335,691","342,535","265,737",,,"299,577","283,062"
Harry S Truman NHS,"27,670","28,924","31,316","28,977","29,364","32,825","34,616","45,435","32,878",,,"30,746","32,275"
Hawaii Volcanoes NP,"1,304,667","1,352,123","1,483,928","1,583,209","1,693,005","1,832,660","1,887,580","2,016,702","1,116,891",,,"1,368,376","1,563,914"
Herbert Hoover NHS,"142,512","134,249","128,812","128,919","139,086","127,154","152,382","144,619","138,087",,,"125,688","136,151"
Home of Franklin D. Roosevelt NHS,"140,251","125,488","135,746","147,218","179,340","180,405","193,272","185,743","154,000",,,"147,109","158,857"
Homestead NM of America,"74,314","69,845","103,708","67,396","69,156","78,739","87,755","123,400","68,091",,,"61,636","80,404"
Hopewell Culture NHP,"33,918","33,834","39,462","32,206","36,432","43,587","58,058","62,413","57,335",,,"60,338","45,758"
Hopewell Furnace NHS,"55,750","44,873","52,870","46,138","48,105","51,252","54,167","49,306","46,407",,,"49,861","49,873"
Horseshoe Bend NMP,"67,776","65,892","58,668","55,965","64,359","89,282","83,370","74,255","48,491",,,"45,372","65,343"
Hot Springs NP,"1,311,807","1,396,354","1,302,505","1,325,719","1,424,484","1,418,162","1,544,300","1,561,616","1,506,887",,,"1,467,153","1,425,899"
Hovenweep NM,"27,386","25,858","26,710","24,959","26,808","35,117","42,862","39,970","40,574",,,"35,399","32,564"
Hubbell Trading Post NHS,"80,578","88,231","75,061","75,678","81,475","66,324","67,276","45,800","39,361",,,"50,285","67,007"
Independence NHP,"3,751,007","3,572,770","3,594,549","3,553,070","3,648,050","4,311,582","5,067,510","4,790,758","4,576,456",,,"4,532,459","4,139,821"
Indiana Dunes NP,"2,150,345","1,840,513","1,889,381","1,681,695","1,553,372","1,640,195","1,698,223","2,158,471","1,756,079",,,"2,134,285","1,850,256"
Isle Royale NP,"15,793","15,892","16,663","16,274","14,560","18,684","24,966","28,196","25,798",,,"26,410","20,324"
James A. Garfield NHS,"24,853","31,499","36,375","21,027","17,956","24,506","45,437","53,536","40,835",,,"41,305","33,733"
Jean Lafitte NHP & PRES,"391,019","420,366","419,694","400,128","445,524","405,618","438,420","456,666","529,878",,,"590,329","449,764"
Jewel Cave NM,"103,462","77,146","109,300","98,259","104,348","116,444","137,275","144,537","142,356",,,"123,489","115,662"
Jimmy Carter NHS,"64,849","66,157","69,940","67,455","62,057","67,797","66,441","60,735","51,680",,,"50,789","62,790"
"John D. Rockefeller, Jr. MEM PKWY","1,222,931","1,147,986","1,197,750","1,228,502","1,264,842","1,430,337","1,411,819","1,433,292","1,504,561",,,"1,426,666","1,326,869"
John Day Fossil Beds NM,"135,151","148,002","148,152","156,285","183,420","196,277","210,110","214,557","204,621",,,"197,091","179,367"
John F. Kennedy NHS,"17,466","18,466","22,642","17,273","26,273","18,485","25,467","30,399","24,077",,,"24,838","22,539"
John Muir NHS,"34,904","31,236","37,403","37,777","41,535","42,615","49,376","46,876","46,957",,,"40,725","40,940"
Johnstown Flood NMEM,"100,799","105,906","123,081","121,923","141,354","163,431","154,931","171,376","146,269",,,"183,143","141,221"
Joshua Tree NP,"1,434,976","1,396,237","1,396,117","1,383,340","1,589,904","2,025,756","2,505,286","2,853,619","2,942,382",,,"2,988,547","2,051,616"
Kalaupapa NHP,"27,919","57,841","58,875","101,112","67,210","67,891","71,527","76,512","72,146",,,"69,401","67,043"
Kaloko Honokohau NHP,"132,731","162,906","153,584","158,124","154,206","170,683","185,041","196,857","218,015",,,"232,921","176,507"
Katmai NP & PRES,"55,172","48,939","39,818","28,966","30,896","37,818","37,818","37,818","37,818",,,"84,167","43,923"
Kenai Fjords NP,"297,596","346,852","281,279","283,502","270,666","296,697","346,534","303,598","321,596",,,"356,601","310,492"
Kennesaw Mountain NBP,"1,512,191","1,748,436","1,935,909","1,924,076","2,119,013","2,174,870","2,360,256","2,593,725","2,549,164",,,"2,621,050","2,153,869"
Keweenaw NHP,,,,,,,"14,612","16,479","20,416",,,"20,535","18,011"
Kings Canyon NP,"598,205","566,810","591,033","567,544","502,268","468,106","607,479","692,932","699,023",,,"632,110","592,551"
Kings Mountain NMP,"275,555","272,325","265,713","247,632","251,093","257,077","263,357","291,841","287,635",,,"262,031","267,426"
Klondike Gold Rush NHP Alaska,"797,716","795,150","854,250","928,150","1,085,202","919,661","912,351","906,485","1,017,298",,,"1,116,161","933,242"
Klondike Gold Rush NHP Seattle,"65,870","64,898","60,198","61,942","62,022","60,372","69,435","84,759","82,646",,,"109,799","72,194"
Knife River Indian Villages NHS,"21,721","16,025","16,010","14,476","10,750","11,377","13,328","11,644","11,682",,,"10,354","13,737"
Kobuk Valley NP,"3,164","11,485","29,550","16,875",0,0,"15,500","15,500","14,937",,,"15,766","12,278"
Korean War Veterans Memorial,"3,072,716","3,073,430","3,267,124","3,209,279","3,767,287","4,077,835","4,084,298","4,155,947","4,107,520",,,"3,841,633","3,665,707"
Lake Chelan NRA,"39,249","43,827","40,830","37,315","35,360","32,186","45,514","38,464","38,839",,,"38,785","39,037"
